danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.504,0.364,E,-10.792,major,0.0294,0.158,0,0.0843,0.454,129.776,4LQDFDzf7qq5F84q8g01H9,160680,4,E major
0.32,0.198,F#,-18.72,major,0.0438,0.921,0.848,0.103,0.218,107.918,2iw33rWGH2cjSFTkFJRoUf,149280,4,F# major
0.622,0.505,C,-10.685,major,0.0347,0.422,2.45e-4,0.0862,0.836,133.17,2BOdbqFnRer3wiYNMaV33W,145160,4,C major
0.319,0.32,A#,-10.948,major,0.0362,0.866,0,0.12,0.584,179.094,6CZA78dY3Xx1B31y0BP7mg,132560,4,A# major
0.581,0.63,A,-7.836,major,0.0334,0.0925,0,0.0648,0.91,136.994,2tUP1fuo8EdOVz3Bw9r7yu,134840,3,A major
0.676,0.688,G,-12.21,major,0.0339,0.0424,0.79,0.0391,0.94,136.29,2HSxLJK9vsZGt3IfheaayP,184500,4,G major
0.473,0.421,D#,-10.234,minor,0.0558,0.757,0,0.145,0.682,161.584,3j2yh8ddwNA3SWjEsQxp0L,144373,3,D# minor
0.56,0.581,G,-10.523,major,0.0451,0.507,0,0.203,0.778,119.23,2vWE2f73mOc34jO5Fqk42z,140227,4,G major
0.674,0.608,C#,-7.777,major,0.0494,0.478,0,0.263,0.863,110.335,51JxQaaiomzSfqvtzwKJoj,156373,4,C# major
0.489,0.879,C,-6.939,minor,0.452,0.927,3.29e-6,0.113,0.171,111.957,3EmzEbZdEXAlEU0YRCJ0Fa,211467,4,C minor
0.653,0.866,C,-1.909,major,0.0342,0.338,0,0.168,0.922,134.744,6TTHWViAWP2j6tuMbtfDPS,150067,4,C major
0.468,0.329,E,-14.848,major,0.0367,0.392,0,0.184,0.447,102.127,1usi2Dn0BbqqhKys2FPSFg,168307,4,E major
0.649,0.691,C,-9.232,major,0.117,0.739,0,0.506,0.962,173.957,5joPaFWU96257ya2GauZfU,123120,4,C major
0.405,0.365,F#,-10.226,minor,0.0289,0.255,4.68e-6,0.163,0.588,104.536,4aSw1QJIMwYSoDEgzgdCJL,141987,4,F# minor
0.417,0.53,E,-8.07,minor,0.0416,0.511,0,0.613,0.448,107.529,3qY8Ni73Tx4mJXASDmBWJN,137413,4,E minor
0.645,0.506,C#,-9.042,major,0.0254,0.443,0,0.0913,0.592,105.156,4equZShjlWQGBJbI8uNLEo,169787,4,C# major
0.625,0.339,A,-19.229,major,0.0451,0.221,0.00179,0.966,0.97,155.377,7wHi6XwaGtili4OOZyd9tq,151907,4,A major
0.309,0.562,G,-8.014,major,0.033,0.229,0.0749,0.294,0.27,133.706,61xuOY4bOj3Z75SrUQ2Aqa,179347,4,G major
0.463,0.381,F#,-10.614,major,0.051,0.77,0,0.0523,0.537,160.885,4HIVG4xTUCk6ruZuXKz6k3,194733,4,F# major
0.632,0.493,A#,-11.282,minor,0.0435,0.504,6.49e-6,0.0586,0.882,176.914,2nzMi6WTCgbDVDSPaff7VT,181400,4,A# minor
0.617,0.533,C,-9.135,major,0.0284,0.493,0,0.319,0.863,121.722,1Qq82VRecQT54sNVhFQi6H,149480,3,C major
0.561,0.674,B,-6.853,minor,0.0278,0.131,0,0.539,0.64,112.442,1jHnZTRWg5xRHV4SeyUiQz,148347,4,B minor
0.5,0.231,C#,-12.493,major,0.0332,0.891,5.49e-4,0.187,0.344,97.373,2foeaMQghGOaXctY2xYXFK,134118,3,C# major
0.347,0.37,B,-12.175,major,0.0317,0.632,1.13e-6,0.156,0.362,110.986,3vF2M5CN1qLkxSPBoVnbkv,164040,4,B major
0.745,0.371,E,-11.493,major,0.0298,0.621,0.571,0.0858,0.848,98.797,32ELxB4sduaBuFIHQ5soiJ,144693,4,E major
0.616,0.473,C,-7.753,major,0.0589,0.771,0,0.16,0.751,141.612,0bp6KarUuafkg6G44CXmcM,133920,4,C major
0.628,0.577,C,-7.361,major,0.0305,0.631,0.00117,0.131,0.693,113.15,6MWjrLTz559H9yv9963FKf,148933,4,C major
0.618,0.543,G#,-9.399,major,0.0776,0.311,0,0.091,0.649,88.582,6DDYnharbFp11nXCfC14Lu,167107,4,G# major
0.738,0.657,C#,-7.191,major,0.0353,0.0764,0.0012,0.325,0.691,121.028,58don6yV8C6KtghnRaCVLQ,199413,4,C# major
0.398,0.331,C#,-9.695,major,0.0341,0.794,0,0.187,0.337,143.316,2SQIbOgtAjCBH5zg7GB42W,160040,3,C# major
0.487,0.278,F#,-8.663,minor,0.0272,0.81,0.00314,0.273,0.481,82.136,7vGcqsWwXcsBo3C0rWhktb,177865,4,F# minor
0.292,0.227,C#,-13.873,major,0.037,0.957,0.0755,0.113,0.326,163.344,4VjgyFsYr2wD4mI7Dvuqfk,187413,4,C# major
0.683,0.565,C,-8.682,major,0.0284,0.0535,0.00122,0.204,0.788,110.488,6GMidYWyiq7yadp3LUFfDd,186840,4,C major
